Я0266    ;Территориальный менеджер;Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
Я0028    ;Торговый представитель;Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
Я0414    ;Торговый представитель;Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
Я0368    ;Торговый представитель (1 кат);Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
Я0358    ;Торговый представитель 2кат (ТИФ);Отдел продаж транснациональным и федеральным клиентам;1;;;;1;;1;;;;;;1;;;1
120      ;Технолог;Отдел развития;1;1;1;1;1;;1;;;;;1;1;1;1;1
Я0390    ;Технолог(отдел развития);Отдел развития;1;1;1;1;1;;1;;;;;1;1;1;1;1
Я0252    ;Руководитель отдела;Отдел сервисного обслуживания клиентов;1;;;;1;;1;;;;;;1;;;1
1029Р    ;Специалист (по приему и обработке заказов);Отдел сервисного обслуживания клиентов;1;;;;1;;1;;;;;;1;;;1
Я0231    ;Директор по торговому маркетингу;Отдел торгового маркетинга;1;;;;1;;1;;;;;;1;;;1
Я0128    ;Категорийный менеджер;Отдел торгового маркетинга;1;;;;1;;1;;;;;;1;;;1
3232     ;Менеджер по торговому маркетингу;Отдел торгового маркетинга;1;;;;1;;1;;;;;;1;;;1
Я0290    ;Промоутер;Отдел торгового маркетинга;1;;;;1;;1;;;;;;1;;;1
Я0145    ;Супервайзер;Отдел торгового маркетинга;1;;;;1;;1;;;;;;1;;;1
1068     ;Водитель автомобиля ((экспедитор)ГАЗ);Отдел транспортной логистики и доставки;;;;;1;1;1;;;;;;1;1;;1
Я0206    ;Водитель автомобиля (экспедитор MAN);Отдел транспортной логистики и доставки;;;;;1;1;1;;;;;;1;1;;1
1252     ;Водитель автомобиля (экспедитор);Отдел транспортной логистики и доставки;;;;;1;1;1;;;;;;1;1;;1
Я0256    ;Водитель автомобиля (экспедитор)ISUZU);Отдел транспортной логистики и доставки;;;;;1;1;1;;;;;;1;1;;1
204      ;Диспетчер;Отдел транспортной логистики и доставки;1;;;;1;1;1;;;;;;1;;;1
10005    ;Диспетчер (старший);Отдел транспортной логистики и доставки;1;;;;1;1;1;;;;;;1;;;1
Я0254    ;Диспетчер по организации перевозок;Отдел транспортной логистики и доставки;1;;;;1;1;1;;;;;;1;;;1
Я0292    ;Руководитель отдела ОТЛИД;Отдел транспортной логистики и доставки;1;;;;1;1;1;;;;;;1;;;1
Я0084    ;Руководитель отдела;Отдел управленческого учета и отчетности;1;;;;1;1;1;;;;;;1;;;1
Я0196    ;Финансовый аналитик;Отдел управленческого учета и отчетности;1;;;;1;;1;;;;;;1;;;1
Я0245    ;Финансовый аналитик по логистике;Отдел управленческого учета и отчетности;1;;;;1;;1;;;;;;1;;;1
Я0244    ;Экономист по калькуляции и анализу себестоимости;Отдел управленческого учета и отчетности;1;;;;1;;1;;;;;;1;;;1
Я0070    ;Ведущий специалист (по ценообразованию и анализу цен);Отдел ценообразования и анализа продаж;1;;;;1;;1;;;;;;1;;;1
Я0294    ;Руководитель отдела (ценообразования и анализа);Отдел ценообразования и анализа продаж;1;;;;1;;1;;;;;;1;;;1
Я0199    ;Финансовый контролер;Отдел ценообразования и анализа продаж;1;;;;1;;1;;;;;;1;;;1
119      ;Боец скота;Отделение первичной переработки скота сырьевого цеха;;;;1;1;;1;;;;;;1;;1;1
31       ;Грузчик (ОППС);Отделение первичной переработки скота сырьевого цеха;;;;1;1;;1;;;;;;1;;1;1
10.      ;Обработчик мясных туш;Отделение первичной переработки скота сырьевого цеха;;;;1;1;;1;;;;;;1;;1;1
1800     ;Приемщик скота;Отделение первичной переработки скота сырьевого цеха;;;;1;1;;1;;;;;;1;;1;1
153      ;Разборщик субпродуктов;Отделение первичной переработки скота сырьевого цеха;;;;1;1;;1;;;;;;1;;1;1
Я0035    ;Старший мастер (ОППС);Отделение первичной переработки скота сырьевого цеха;1;;;1;1;;1;;1;;;;1;;1;1
9999     ;Аппаратчик термической обработки мясопродуктов;Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
49       ;Варщик пищевого сырья и продуктов;Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
Я0316    ;Мастер (отделение производства колбасных изделий);Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
259      ;Оператор линии (поликлип);Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
Я0321    ;Оператор линии (ручная вязка);Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
Я0320    ;Оператор линии (таусенд);Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
1122     ;Подготовщик сырья (оболочки);Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
016      ;Помощник составителя фарша;Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
Я0317    ;Резчик мясопродуктов (отделение производства колбасных изделий);Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
Я0318    ;Составитель  фарша (отделение производства колбасных изделий);Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
1000Р    ;Составитель смесей;Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
0164     ;Старший аппаратчик термической обработки мясопродуктов;Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
Я0380    ;Транспортировщик (на специях);Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
Я0377    ;Транспортировщик (на термообработке);Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
Я0369    ;Транспортировщик (на формовке);Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
126      ;Формовщик колбасных изделий;Отделение производства колбасных изделий цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
Я0310    ;Мастер (отделение производства полуфабрикатов));Отделение производства полуфабрикатов сырьевого цеха;;;;;;;1;;;;;1;1;;;1
104.     ;Старший мастер;Отделение производства полуфабрикатов сырьевого цеха;;;;;;;1;;;;;1;1;;;1
Я0323    ;Грузчик (на термообработке);Отделение сырокопчения и производства деликатесов цеха производства колбасных изделий и деликатесов;;;;;;;1;;;;;1;1;;;1
